subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_16,ThreeDMiniMap,3,1,Search,1,13.32352,1,9.982403,0.5942244,1.050649,2,0,0,1
sub_16,ThreeDMiniMap,3,2,Repeat,1,13.3288,1,5.465466,0.4355184,0.7509269,1,0,0,1
sub_16,ThreeDMiniMap,3,3,Search,2,6.27494,1,7.24007,0.4454312,0.891502,2,0,0,1
sub_16,ThreeDMiniMap,3,4,Repeat,2,6.265886,1,4.032669,0.3686645,0.6008759,1,0,0,1
sub_16,ThreeDMiniMap,3,5,Search,3,11.78826,1,6.157551,0.5450004,0.7256773,1,0,0,3
sub_16,ThreeDMiniMap,3,6,Repeat,3,11.77822,1,2.538269,0.4535359,0.6121362,1,0,0,1
sub_16,ThreeDMiniMap,3,7,Search,4,9.870915,1,8.013,0.5181967,0.6670371,2,0,0,2
sub_16,ThreeDMiniMap,3,8,Repeat,4,9.86323,1,3.072731,0.4428417,0.5917746,1,0,0,1
sub_16,ThreeDMiniMap,3,9,Search,5,4.187821,1,2.632378,0.484179,0.7209905,1,0,0,1
sub_16,ThreeDMiniMap,3,10,Repeat,5,4.169786,1,3.788521,0.5074456,0.6770215,1,0,0,1
sub_16,ThreeDMiniMap,2,11,Search,1,10.89237,1,2.34623,0.5232707,0.7189964,1,0,0,1
sub_16,ThreeDMiniMap,2,12,Repeat,1,10.92569,1,6.141342,0.3336195,0.717797,1,0,0,1
sub_16,ThreeDMiniMap,2,13,Search,2,6.256668,1,3.578102,0.4199069,0.677694,1,0,0,1
sub_16,ThreeDMiniMap,2,14,Repeat,2,6.260883,1,3.139183,0.4007511,0.5358337,1,0,0,2
sub_16,ThreeDMiniMap,2,15,Search,3,4.838601,1,5.446442,0.5609731,0.8491151,1,0,0,2
sub_16,ThreeDMiniMap,2,16,Repeat,3,4.833649,2,3.431648,0.4017537,0.6467076,1,0,0,2
sub_16,ThreeDMiniMap,2,17,Search,4,7.613107,1,8.942886,0.6988809,1.266963,3,0,0,1
sub_16,ThreeDMiniMap,2,18,Repeat,4,7.615488,1,3.946709,0.5125565,0.6582674,1,0,0,1
sub_16,ThreeDMiniMap,2,19,Search,5,13.30341,1,3.768204,0.56406,0.7580911,1,0,0,1
sub_16,ThreeDMiniMap,2,20,Repeat,5,13.31758,1,5.470871,0.4756866,0.6908253,1,0,0,1
sub_16,ThreeDMiniMap,1,21,Search,1,9.889239,1,12.9216,1.137237,1.16653,1,0,0,1
sub_16,ThreeDMiniMap,1,22,Repeat,1,9.949732,1,9.794312,0.4592082,0.9189013,1,0,0,1
sub_16,ThreeDMiniMap,1,23,Search,2,5.235988,1,3.487976,0.4978753,0.651783,1,0,0,1
sub_16,ThreeDMiniMap,1,24,Repeat,2,5.228168,1,2.403259,0.4796323,0.6594681,1,0,0,1
sub_16,ThreeDMiniMap,1,25,Search,3,4.15585,1,2.487091,0.528433,0.6191395,1,0,0,1
sub_16,ThreeDMiniMap,1,26,Repeat,3,4.17823,1,2.593658,0.5850813,0.67685,1,0,0,1
sub_16,ThreeDMiniMap,1,27,Search,4,7.483052,1,6.685516,0.5754567,0.7608934,4,0,0,1
sub_16,ThreeDMiniMap,1,28,Repeat,4,7.501659,1,2.485611,0.4030139,0.5529128,1,0,0,1
sub_16,ThreeDMiniMap,1,29,Search,5,6.263509,1,3.780334,0.5696957,0.8511579,2,0,0,1
sub_16,ThreeDMiniMap,1,30,Repeat,5,6.271003,1,2.149826,0.440672,0.619248,1,0,0,1
sub_16,OhMiniMap,2,31,Search,1,3.13076,1,7.124512,1.241376,0.587292,1,1,0,2
sub_16,OhMiniMap,2,32,Repeat,1,3.15309,1,4.261597,0.3461833,0.3605838,1,0,0,1
sub_16,OhMiniMap,2,33,Search,2,7.503008,1,6.993774,1.93251,0.7265076,1,3,0,1
sub_16,OhMiniMap,2,34,Repeat,2,7.516932,1,4.905884,0.8854898,0.7243645,2,1,0,1
sub_16,OhMiniMap,2,35,Search,3,10.0104,1,4.512329,0.6906144,0.5115845,1,1,0,1
sub_16,OhMiniMap,2,36,Repeat,3,10.00765,1,4.055725,0.7868599,0.6020811,1,1,0,1
sub_16,OhMiniMap,2,37,Search,4,6.327174,1,5.844604,0.7638851,0.6896367,1,1,0,1
sub_16,OhMiniMap,2,38,Repeat,4,6.315047,1,3.108276,0.7149855,0.5150366,1,1,0,1
sub_16,OhMiniMap,2,39,Search,5,4.903403,1,3.504028,0.7328979,0.6055809,1,1,0,1
sub_16,OhMiniMap,2,40,Repeat,5,4.899868,1,4.437866,0.8194615,0.5500153,2,1,0,1
sub_16,OhMiniMap,1,41,Search,1,4.183348,1,3.090088,0.8456481,0.6024131,1,1,0,1
sub_16,OhMiniMap,1,42,Repeat,1,4.231262,1,2.817139,0.5239872,0.4877547,1,1,0,1
sub_16,OhMiniMap,1,43,Search,2,11.95719,1,8.039124,1.248086,0.8130338,3,1,0,2
