subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_19,GravityZone+,medium,1,Search,1,9.949128,1,17.9591,0.6179942,0.1796585,0,1,0,0
sub_19,GravityZone+,medium,2,Repeat,1,9.907324,1,9.272121,0.2896173,0.102001,0,1,0,0
sub_19,GravityZone+,medium,3,Search,2,12.44248,1,10.85944,0.5777687,0.1635656,0,1,0,0
sub_19,GravityZone+,medium,4,Repeat,2,12.44116,1,13.62981,0.290947,0.09284543,0,1,0,0
sub_19,GravityZone+,medium,5,Search,3,7.469853,1,7.364883,0.2288082,0.06290635,0,1,0,0
sub_19,GravityZone+,medium,6,Repeat,3,7.472441,1,5.262276,0.1837626,0.0447435,0,1,0,0
sub_19,GravityZone+,medium,7,Search,4,5.624717,1,6.376396,0.2560914,0.05470254,0,1,0,0
sub_19,GravityZone+,medium,8,Repeat,4,5.623949,2,7.295143,0.2019224,0.0719559,0,2,0,0
sub_19,GravityZone+,medium,9,Search,5,9.995343,1,5.749657,0.1445204,0.03823698,0,1,0,0
sub_19,GravityZone+,medium,10,Repeat,5,9.99773,1,6.905624,0.1524942,0.05310257,0,1,0,0
sub_19,GravityZone+,low,11,Search,1,11.39975,1,7.656754,0.3647743,0.2317369,0,1,0,0
sub_19,GravityZone+,low,12,Repeat,1,11.41012,1,4.761261,0.1809803,0.1645444,0,1,0,0
sub_19,GravityZone+,low,13,Search,2,11.72645,1,3.786987,0.1082312,0.04665856,0,1,0,0
sub_19,GravityZone+,low,14,Repeat,2,11.72653,1,3.981766,0.1630825,0.04699562,0,1,0,0
sub_19,GravityZone+,low,15,Search,3,10.00465,1,5.290115,0.1579357,0.05496881,0,1,0,0
sub_19,GravityZone+,low,16,Repeat,3,10.00793,1,3.619949,0.155336,0.04403304,0,1,0,0
sub_19,GravityZone+,low,17,Search,4,9.92077,1,5.721863,0.1919938,0.04913039,0,1,0,0
sub_19,GravityZone+,low,18,Repeat,4,9.921651,1,11.44476,0.2988452,0.08519865,0,1,0,0
