subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_22,ConeExpand,low,1,Search,1,6.480775,1,1.795383,0.3428611,0.2546376,0,2,0,0
sub_22,ConeExpand,low,2,Repeat,1,6.504869,1,1.350147,0.3324268,0.03713391,0,2,0,0
sub_22,ConeExpand,low,3,Search,2,9.977266,1,3.076824,0.4831314,0.04201036,0,4,0,1
sub_22,ConeExpand,low,4,Repeat,2,9.973923,1,0.5152397,0.1582258,0.02445267,0,1,0,0
sub_22,ConeExpand,low,5,Search,3,11.7109,1,6.891621,0.4939079,0.0547578,0,8,0,6
sub_22,ConeExpand,low,6,Repeat,3,11.70425,1,2.505932,0.2054096,0.02017381,0,2,0,1
sub_22,ConeExpand,low,7,Search,4,5.625814,2,10.55313,0.8205999,0.1824384,0,10,0,5
sub_22,ConeExpand,low,8,Repeat,4,5.626009,1,1.837769,0.2524297,0.03464811,0,2,0,0
sub_22,ConeExpand,low,9,Search,5,3.1385,1,1.810135,0.2016711,0.01220602,0,2,0,0
sub_22,ConeExpand,low,10,Repeat,5,3.137225,1,1.587021,0.2227507,0.02111823,0,2,0,0
sub_22,ConeExpand,medium,11,Search,1,11.53724,1,1.684654,0.3234301,0.01782274,0,2,0,0
sub_22,ConeExpand,medium,12,Repeat,1,11.54518,1,1.434105,0.2585721,0.02225498,0,2,0,0
sub_22,ConeExpand,medium,13,Search,2,7.48276,1,3.578178,0.5107599,0.01413042,0,4,0,2
sub_22,ConeExpand,medium,14,Repeat,2,7.486803,1,1.42041,0.3220254,0.01857918,0,2,0,0
sub_22,ConeExpand,medium,15,Search,3,4.830181,1,1.378387,0.2775009,0.01678173,0,2,0,0
sub_22,ConeExpand,medium,16,Repeat,3,4.831781,1,4.539162,0.543354,0.03512158,0,7,0,3
sub_22,ConeExpand,medium,17,Search,4,5.988883,1,16.9293,1.083247,0.04811699,0,18,0,16
sub_22,ConeExpand,medium,18,Repeat,4,5.991606,1,9.537582,0.8175963,0.06231964,0,10,0,6
sub_22,ConeExpand,medium,19,Search,5,6.547182,1,4.789322,0.6422147,0.04390019,0,4,0,2
sub_22,ConeExpand,medium,20,Repeat,5,6.551507,1,4.162994,0.5065059,0.1189906,0,4,0,2
sub_22,ConeExpand,high,21,Search,1,7.474426,1,2.352905,0.3959078,0.04774368,0,2,0,0
sub_22,ConeExpand,high,22,Repeat,1,7.498522,1,2.979309,0.4529186,0.06259093,0,3,0,1
sub_22,ConeExpand,high,23,Search,2,6.002905,1,8.158752,0.9172732,0.05546402,0,9,0,6
sub_22,ConeExpand,high,24,Repeat,2,6.006723,1,2.060837,0.5109658,0.03669116,0,2,0,0
