subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_20,3DMiniMap,low,1,Search,1,5.572483,1,4.572157,0.4022938,0.5868784,1,0,0,1
sub_20,3DMiniMap,low,2,Repeat,1,5.573778,1,3.756014,0.3136801,0.4768362,1,0,0,1
sub_20,3DMiniMap,low,3,Search,2,11.47542,1,4.456272,0.4364334,0.5928029,1,0,0,1
sub_20,3DMiniMap,low,4,Repeat,2,11.47506,1,4.979671,0.4706246,0.6705258,1,0,0,1
sub_20,3DMiniMap,low,5,Search,3,9.957897,1,3.332474,0.40272,0.6729109,1,0,0,1
sub_20,3DMiniMap,low,6,Repeat,3,9.963258,1,4.836475,0.718128,0.9696229,2,0,0,1
sub_20,3DMiniMap,low,7,Search,4,7.413989,1,13.72295,0.4307764,0.9311295,1,0,0,1
sub_20,3DMiniMap,low,8,Repeat,4,7.420016,1,3.518745,0.3960909,0.5276653,1,0,0,1
sub_20,3DMiniMap,low,9,Search,5,3.079391,1,3.874519,0.3454569,0.3765643,1,0,0,1
sub_20,3DMiniMap,low,10,Repeat,5,3.060531,1,4.055016,0.3712434,0.3559034,1,0,0,1
sub_20,3DMiniMap,high,11,Search,1,9.968479,1,4.664421,0.6492043,0.7759257,2,0,0,1
sub_20,3DMiniMap,high,12,Repeat,1,9.957488,1,3.3461,0.3265579,0.6148143,1,0,0,1
sub_20,3DMiniMap,high,13,Search,2,4.215133,1,5.431213,0.411559,0.5477363,1,0,0,1
sub_20,3DMiniMap,high,14,Repeat,2,4.215459,1,7.717148,0.4517994,0.7631121,1,0,0,1
sub_20,3DMiniMap,high,15,Search,3,9.873264,2,5.809898,0.4620396,0.7390631,1,0,0,2
sub_20,3DMiniMap,high,16,Repeat,3,9.874496,1,6.546814,0.6603957,0.8994332,1,0,0,1
sub_20,3DMiniMap,high,17,Search,4,7.424541,1,20.71743,0.6479574,1.2927,1,0,0,1
sub_20,3DMiniMap,high,18,Repeat,4,7.420111,1,9.386597,0.4022616,0.741448,1,0,0,1
sub_20,3DMiniMap,high,19,Search,5,8.357487,1,5.245682,0.4939425,0.7172063,1,0,0,1
sub_20,3DMiniMap,high,20,Repeat,5,8.362729,1,4.820023,0.3893071,0.7059913,1,0,0,1
sub_20,3DMiniMap,medium,21,Search,1,7.414159,1,3.324188,0.3758363,0.6001211,1,0,0,1
sub_20,3DMiniMap,medium,22,Repeat,1,7.424871,1,3.769897,0.2915067,0.5761144,1,0,0,1
sub_20,3DMiniMap,medium,23,Search,2,4.760613,1,10.312,0.3951266,0.7778988,1,0,0,1
sub_20,3DMiniMap,medium,24,Repeat,2,4.760118,1,5.996277,0.5629287,0.6304238,1,0,0,1
sub_20,3DMiniMap,medium,25,Search,3,3.067835,1,2.47377,0.311907,0.5406665,1,0,0,1
sub_20,3DMiniMap,medium,26,Repeat,3,3.0729,1,3.207413,0.4352305,0.5985946,1,0,0,1
sub_20,3DMiniMap,medium,27,Search,4,8.369636,1,6.261124,0.4187954,0.5670695,1,0,0,1
sub_20,3DMiniMap,medium,28,Repeat,4,8.362808,1,3.177353,0.3770553,0.5236752,1,0,0,1
sub_20,3DMiniMap,medium,29,Search,5,9.875403,1,4.034607,0.3804876,0.5316092,1,0,0,1
sub_20,3DMiniMap,medium,30,Repeat,5,9.876592,1,3.928284,0.4284966,0.4925568,1,0,0,1
sub_20,2DMiniMap+,low,31,Search,1,6.221991,1,4.385986,0.7759351,0.3500403,1,1,0,1
sub_20,2DMiniMap+,low,32,Repeat,1,6.219641,1,4.421478,0.6794202,0.3643752,1,1,0,1
sub_20,2DMiniMap+,low,33,Search,2,9.930548,1,11.7832,0.6838599,0.4167401,1,1,0,1
sub_20,2DMiniMap+,low,34,Repeat,2,9.926639,1,5.402863,0.7946188,0.2891903,2,1,0,1
sub_20,2DMiniMap+,low,35,Search,3,10.01441,1,3.56604,0.378262,0.2261475,1,1,0,1
sub_20,2DMiniMap+,low,36,Repeat,3,10.00982,1,2.59903,0.2167812,0.1846083,1,0,0,1
sub_20,2DMiniMap+,low,37,Search,4,11.88319,1,10.38623,1.150953,0.4383874,1,2,0,3
sub_20,2DMiniMap+,low,38,Repeat,4,11.87814,1,8.7341,0.947285,0.337061,1,4,0,2
sub_20,2DMiniMap+,low,39,Search,5,7.476399,1,6.127472,1.144131,0.6989237,1,1,0,1
sub_20,2DMiniMap+,low,40,Repeat,5,7.465193,1,6.282104,0.8905232,0.4891157,1,1,0,1
sub_20,2DMiniMap+,medium,41,Search,1,13.29801,1,15.09482,1.320666,0.9003322,1,1,0,1
sub_20,2DMiniMap+,medium,42,Repeat,1,13.30475,1,5.712769,0.8511446,0.379317,1,1,0,1
sub_20,2DMiniMap+,medium,43,Search,2,8.414002,1,6.803406,0.7584044,0.5621213,1,1,0,1
sub_20,2DMiniMap+,medium,44,Repeat,2,8.415815,1,9.732483,0.8498416,0.6198116,1,1,0,1
sub_20,2DMiniMap+,medium,45,Search,3,10.03274,1,3.443054,0.4444427,0.4411686,1,0,0,1
sub_20,2DMiniMap+,medium,46,Repeat,3,10.03275,1,4.41571,0.6772568,0.5243681,1,1,0,1
sub_20,2DMiniMap+,medium,47,Search,4,3.158884,1,4.762207,0.3949065,0.5548975,1,0,0,1
sub_20,2DMiniMap+,medium,48,Repeat,4,3.146859,1,3.213135,0.3950449,0.1909271,1,1,0,1
sub_20,2DMiniMap+,medium,49,Search,5,4.278223,1,4.228271,0.7818632,0.3399627,1,1,0,2
