Subject,technique,density,trial_time,aligned(trial_time) for density,ART-C(trial_time) for density
10,Cone,high,8.7656798,1.8134511021990740510416666663,224
10,Cone,low,14.921848800000001,7.0945029579282415999999999996,277
10,Cone,medium,11.4357786,3.6519068877893517739583333333,253
10,Gravity,high,16.2803528,6.8339819355324075927083333333,275
10,Gravity,low,10.043568,1.7770605620949074916666666666,222
10,Gravity,medium,12.098552999999999,3.6258134711226843656250000000,252
10,Three,high,14.0618652,6.5296734396990739885416666663,273
10,Three,low,6.7191654,-0.2643708879050924791666666667,152
10,Three,medium,11.4486378,4.2519901836226851489583333333,257
10,Two,high,7.9282466,2.3479312334490740635416666666,234
10,Two,low,4.074292,-2.3594251212384259166666666667,73
10,Two,medium,7.342563666666666,1.2847158350115734072916666667,210
11,Cone,high,6.195301,-0.7569276978009259489583333337,134
11,Cone,low,5.098119800000001,-2.7292260420717584000000000001,59
11,Cone,medium,7.5933475999999995,-0.1905241122106487260416666667,157
11,Gravity,high,7.9742482,-1.4721226644675924072916666667,106
11,Gravity,low,6.721818400000001,-1.5446890379050915083333333334,102
11,Gravity,medium,7.0973602,-1.3753793288773146343750000000,116
11,Three,high,6.1134268,-1.4187649603009260114583333337,111
11,Three,low,5.378701,-1.6048352879050924791666666667,100
11,Three,medium,7.0712052,-0.1254424163773148510416666667,161
11,Two,high,8.8388638,3.2585484334490740635416666666,245
11,Two,low,3.6841584,-2.7495587212384259166666666667,57
11,Two,medium,4.6323822,-1.4254656316550925927083333333,110
12,Cone,high,6.2543058,-0.6979228978009259489583333337,139
12,Cone,low,7.0834030000000014,-0.7439428420717580000000000001,135
12,Cone,medium,7.7461796,-0.0376921122106482260416666667,167
12,Gravity,high,17.171186,7.7248151355324075927083333333,281
12,Gravity,low,11.0878422,2.8213347620949074916666666666,239
12,Gravity,medium,10.9623164,2.4895768711226853656250000000,236
12,Three,high,6.197186,-1.3350057603009260114583333337,120
12,Three,low,6.838742999999999,-0.1447932879050934791666666667,160
12,Three,medium,5.6266266,-1.5700210163773148510416666667,101
12,Two,high,8.6199554,3.0396400334490740635416666666,244
12,Two,low,9.0113586,2.5776414787615740833333333333,238
12,Two,medium,6.2346316,0.1767837683449074072916666667,172
13,Cone,high,5.468872,-1.4833566978009259489583333337,104
13,Cone,low,13.437769,5.6104231579282405999999999999,269
13,Cone,medium,8.2140306,0.4301588877893517739583333333,179
13,Gravity,high,13.5845908,4.1382199355324075927083333333,255
13,Gravity,low,8.5093632,0.2428557620949074916666666666,175
13,Gravity,medium,9.1405704,0.6678308711226853656250000000,188
13,Three,high,10.9869686,3.4547768396990739885416666663,250
13,Three,low,6.624615199999999,-0.3589210879050934791666666667,150
13,Three,medium,5.1345948,-2.0620528163773148510416666667,86
13,Two,high,6.141114,0.5607986334490740635416666666,185
13,Two,low,7.6393692,1.2056520787615740833333333333,207
13,Two,medium,7.1042508,1.0464029683449074072916666667,201
14,Cone,high,6.1342014,-0.8180272978009259489583333337,133
14,Cone,low,8.642773199999999,0.8154273579282395999999999999,195
14,Cone,medium,14.532138800000002,6.7482670877893537739583333333,274
14,Gravity,high,8.1080994,-1.3382714644675924072916666667,119
14,Gravity,low,5.6719512000000005,-2.5945562379050920083333333334,65
14,Gravity,medium,6.9638808,-1.5088587288773146343750000000,103
14,Three,high,10.4496468,2.9174550396990739885416666663,241
14,Three,low,5.5502678,-1.4332684879050924791666666667,109
14,Three,medium,4.68107575,-2.5155718663773148510416666667,67
14,Two,high,6.7296576,1.1493422334490740635416666666,203
14,Two,low,6.3897645999999995,-0.0439525212384264166666666667,165
14,Two,medium,5.9805418,-0.0773060316550925927083333333,162
15,Cone,high,5.062207,-1.8900216978009259489583333337,92
15,Cone,low,3.5530518,-4.2742940420717594000000000001,14
15,Cone,medium,5.6113644,-2.1725073122106482260416666667,78
15,Gravity,high,7.0303062,-2.4160646644675924072916666667,69
15,Gravity,low,4.307422,-3.9590854379050925083333333334,24
15,Gravity,medium,4.4799422,-3.9927973288773146343750000000,22
15,Three,high,12.0956794,4.5634876396990739885416666663,262
15,Three,low,6.0320862,-0.9514500879050924791666666667,130
15,Three,medium,7.0451912,-0.1514564163773148510416666667,159
15,Two,high,5.5367216,-0.0435937665509259364583333334,166
15,Two,low,4.6594664,-1.7742507212384259166666666667,95
15,Two,medium,5.8393074,-0.2185404316550925927083333333,154
16,Cone,high,4.739180599999999,-2.2130480978009269489583333337,75
16,Cone,low,3.157251,-4.6700948420717594000000000001,7
16,Cone,medium,1.7764510000000002,-6.0074207122106480260416666667,1
16,Gravity,high,8.0466522,-1.3997186644675924072916666667,114
16,Gravity,low,7.53212875,-0.7343786879050925083333333334,137
16,Gravity,medium,7.7962688,-0.6764707288773146343750000000,141
16,Three,high,6.8050804,-0.7271113603009260114583333337,138
16,Three,low,5.8725034,-1.1110328879050924791666666667,126
16,Three,medium,4.8163728,-2.3802748163773148510416666667,72
