Subject,density,technique,trial_time,aligned(trial_time) for technique,ART-C(trial_time) for technique
10,high,Cone,3.4443436,-1.7503596702430555256944444445,66
10,low,Cone,2.1858642,-2.5670387864930554840277777778,29
10,medium,Cone,2.5251282,-2.2584453674652778006944444445,42
10,high,Gravity,6.938586599999999,0.2609946488773138631944444448,171
10,low,Gravity,5.6163926,1.7474609634606481923611111111,234
10,medium,Gravity,4.174026400000001,-0.0106298365393508659722222222,160
10,high,Three,2.6285766,-3.0035979962615740618055555556,12
10,low,Three,1.9291992,-2.1279419420949074659722222222,48
10,medium,Three,3.1083312,-1.9335328858449072826388888889,54
10,high,Two,7.2099124,1.5560294530439815951388888889,220
10,low,Two,5.479715000000001,1.0975987988773157534722222222,207
10,medium,Two,4.5278824,-0.1672982761226851590277777778,154
11,high,Cone,4.6167602,-0.5779430702430555256944444445,131
11,low,Cone,3.5473386,-1.2055643864930554840277777778,95
11,medium,Cone,3.9734494,-0.8101241674652778006944444445,119
11,high,Gravity,5.2930410000000006,-1.3845509511226845368055555552,86
11,low,Gravity,5.5577666,1.6888349634606481923611111111,229
11,medium,Gravity,7.1755792,2.9909229634606481340277777778,263
11,high,Three,2.6156432,-3.0165313962615740618055555556,11
11,low,Three,3.0690798,-0.9880613420949074659722222222,107
11,medium,Three,8.094446000000001,3.0525819141550937173611111111,264
11,high,Two,9.407984,3.7541010530439815951388888889,272
11,low,Two,2.6738983999999997,-1.7082178011226855465277777778,69
11,medium,Two,3.7862732,-0.9089074761226851590277777778,114
12,high,Cone,2.425377,-2.7693262702430555256944444445,20
12,low,Cone,7.3231348,2.5702318135069445159722222222,258
12,medium,Cone,2.91344,-1.8701335674652778006944444445,59
12,high,Gravity,12.0314636,5.3538716488773148631944444448,284
12,low,Gravity,10.711761,6.8428293634606481923611111111,286
12,medium,Gravity,6.1648742,1.9802179634606481340277777778,240
12,high,Three,9.448871800000001,3.8166972037384269381944444444,274
12,low,Three,4.8095922,0.7524510579050925340277777778,196
12,medium,Three,7.0772762,2.0354121141550927173611111111,242
12,high,Two,8.021035,2.3671520530439815951388888889,250
12,low,Two,4.929004000000001,0.5468877988773157534722222222,184
12,medium,Two,5.0122636,0.3170829238773148409722222222,174
13,high,Cone,8.2894108,3.0947075297569444743055555555,265
13,low,Cone,9.998908199999999,5.2460052135069435159722222222,283
13,medium,Cone,11.0461214,6.2625478325347221993055555555,285
13,high,Gravity,9.0378338,2.3602418488773148631944444448,249
13,low,Gravity,6.3986298,2.5296981634606481923611111111,256
13,medium,Gravity,7.8659229999999996,3.6812667634606477340277777778,271
13,high,Three,4.017034799999999,-1.6151397962615750618055555556,75
13,low,Three,3.41870125,-0.6384398920949074659722222222,126
13,medium,Three,4.399208,-0.6426560858449072826388888889,125
13,high,Two,6.185217199999999,0.5313342530439805951388888889,182
13,low,Two,6.3532592,1.9711429988773147534722222222,239
13,medium,Two,4.9938720000000005,0.2986913238773153409722222222,173
14,high,Cone,3.082352,-2.1123512702430555256944444445,49
14,low,Cone,2.0075868,-2.7453161864930554840277777778,21
14,medium,Cone,3.6984336,-1.0851399674652778006944444445,101
14,high,Gravity,6.3815108,-0.2960811511226851368055555552,145
14,low,Gravity,6.3124876,2.4435559634606481923611111111,252
14,medium,Gravity,6.6325372,2.4478809634606481340277777778,253
14,high,Three,7.1179694,1.4857948037384259381944444444,217
14,low,Three,5.459082,1.4019408579050925340277777778,215
14,medium,Three,3.843286,-1.1985780858449072826388888889,97
14,high,Two,6.4384092,0.7845262530439815951388888889,197
14,low,Two,5.074010400000001,0.6918941988773157534722222222,191
14,medium,Two,6.3113168,1.6161361238773148409722222222,224
15,high,Cone,5.0757576,-0.1189456702430555256944444445,156
15,low,Cone,1.6649170000000002,-3.0879859864930552840277777778,10
15,medium,Cone,3.3582030000000005,-1.4253705674652773006944444445,85
15,high,Gravity,5.3210232,-1.3565687511226851368055555552,88
15,low,Gravity,4.0820252,0.2130935634606481923611111111,169
15,medium,Gravity,4.535819999999999,0.3511637634606471340277777778,175
15,high,Three,4.6705078,-0.9616667962615740618055555556,111
15,low,Three,2.5284362,-1.5287049420949074659722222222,77
15,medium,Three,6.6999886,1.6581245141550927173611111111,228
15,high,Two,2.5119292,-3.1419537469560184048611111111,9
15,low,Two,2.488141,-1.8939752011226852465277777778,57
15,medium,Two,2.5658232,-2.1293574761226851590277777778,47
16,high,Cone,3.525271,-1.6694322702430555256944444445,73
16,low,Cone,2.1495667999999997,-2.6033361864930557840277777778,28
16,medium,Cone,3.5808746,-1.2026989674652778006944444445,96
16,high,Gravity,8.244587,1.5669950488773148631944444448,222
16,low,Gravity,5.5995484,1.7306167634606481923611111111,233
16,medium,Gravity,6.9276946,2.7430383634606481340277777778,262
16,high,Three,3.7795312,-1.8526433962615740618055555556,61
16,low,Three,3.8853332000000003,-0.1718079420949071659722222222,151
16,medium,Three,4.4259506,-0.6159134858449072826388888889,127
