Subject,technique,density,trial_time,aligned(trial_time) for density,ART-C(trial_time) for density
10,Cone,high,3.4443436,-0.0242640898379630045138888889,165
10,Cone,low,2.1858642,-2.3652584056712962440972222222,28
10,Cone,medium,2.5251282,-1.6456193367129630347222222223,66
10,Gravity,high,6.938586599999999,-0.5737345023379639086805555552,126
10,Gravity,low,5.6163926,-0.6115833873379628607638888889,121
10,Gravity,medium,4.174026400000001,-1.9586285374074063930555555556,49
10,Three,high,2.6285766,-1.7075534440046296545138888889,63
10,Three,low,1.9291992,-2.3562125894212963399305555555,31
10,Three,medium,3.1083312,-1.7507578832407406305555555556,59
10,Two,high,7.2099124,2.8853981372453704871527777778,264
10,Two,low,5.479715000000001,0.9026522834953713642361111111,212
10,Two,medium,4.5278824,0.0488008584259259777777777777,172
11,Cone,high,4.6167602,1.1481525101620369954861111111,220
11,Cone,low,3.5473386,-1.0037840056712962440972222222,100
11,Cone,medium,3.9734494,-0.1972981367129630347222222223,157
11,Gravity,high,5.2930410000000006,-2.2192801023379623086805555552,36
11,Gravity,low,5.5577666,-0.6702093873379628607638888889,118
11,Gravity,medium,7.1755792,1.0429242625925926069444444444,217
11,Three,high,2.6156432,-1.7204868440046296545138888889,61
11,Three,low,3.0690798,-1.2163319894212963399305555555,84
11,Three,medium,8.094446000000001,3.2353569167592603694444444444,268
11,Two,high,9.407984,5.0834697372453704871527777778,282
11,Two,low,2.6738983999999997,-1.9031643165046299357638888889,51
11,Two,medium,3.7862732,-0.6928083415740740222222222223,116
12,Cone,high,2.425377,-1.0432306898379630045138888889,97
12,Cone,low,7.3231348,2.7720121943287037559027777778,262
12,Cone,medium,2.91344,-1.2573075367129630347222222223,80
12,Gravity,high,12.0314636,4.5191424976620370913194444448,278
12,Gravity,low,10.711761,4.4837850126620371392361111111,277
12,Gravity,medium,6.1648742,0.0322192625925926069444444444,169
12,Three,high,9.448871800000001,5.1127417559953713454861111111,283
12,Three,low,4.8095922,0.5241804105787036600694444445,195
12,Three,medium,7.0772762,2.2181871167592593694444444444,249
12,Two,high,8.021035,3.6965207372453704871527777778,273
12,Two,low,4.929004000000001,0.3519412834953713642361111111,187
12,Two,medium,5.0122636,0.5331820584259259777777777777,196
13,Cone,high,8.2894108,4.8208031101620369954861111111,279
13,Cone,low,9.998908199999999,5.4477855943287027559027777778,285
13,Cone,medium,11.0461214,6.8753738632870369652777777777,286
13,Gravity,high,9.0378338,1.5255126976620370913194444448,230
13,Gravity,low,6.3986298,0.1706538126620371392361111111,181
13,Gravity,medium,7.8659229999999996,1.7332680625925922069444444444,233
13,Three,high,4.017034799999999,-0.3190952440046306545138888889,149
13,Three,low,3.41870125,-0.8667105394212963399305555555,104
13,Three,medium,4.399208,-0.4598810832407406305555555556,134
13,Two,high,6.185217199999999,1.8607029372453694871527777778,241
13,Two,low,6.3532592,1.7761964834953703642361111111,234
13,Two,medium,4.9938720000000005,0.5147904584259264777777777777,194
14,Cone,high,3.082352,-0.3862556898379630045138888889,143
14,Cone,low,2.0075868,-2.5435358056712962440972222222,17
14,Cone,medium,3.6984336,-0.4723139367129630347222222223,133
14,Gravity,high,6.3815108,-1.1308103023379629086805555552,90
14,Gravity,low,6.3124876,0.0845116126620371392361111111,177
14,Gravity,medium,6.6325372,0.4998822625925926069444444444,192
