Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
20,Two,high,4.175293,-1.4785899469560184048611111111,-0.1492212627546295128472222222,-1.1641214233564814024305555556,82,161,88
20,Two,low,5.487914999999999,1.1057987988773137534722222222,0.9108522834953693642361111111,1.6728157762268508788194444444,208,213,237
20,Two,medium,5.070812999999999,0.3756323238773138409722222222,0.5917314584259249777777777777,0.8446681262962953527777777778,176,198,211
21,Cone,high,4.0961,-1.0986032702430555256944444445,0.6274923101620369954861111111,-0.8465875271527777732638888889,99,200,105
21,Cone,low,6.7462526,1.9933496135069445159722222222,2.1951299943287037559027777778,3.3278802724305555079861111111,241,248,273
21,Cone,medium,3.8204223999999996,-0.9631511674652782006944444445,-0.3503251367129634347222222223,-0.0089955775000004180555555555,110,147,160
21,Gravity,high,7.5650858,0.8874938488773148631944444448,0.0527646976620370913194444448,0.0615735412268519336805555555,199,173,165
21,Gravity,low,3.4248846,-0.4440470365393518076388888889,-2.8030913873379628607638888889,-2.5543124591898147850694444445,137,8,19
21,Gravity,medium,3.8955874,-0.2890688365393518659722222222,-2.2370675374074073930555555556,-2.4946553091203703111111111111,146,35,23
21,Three,high,5.2308592,-0.4013153962615740618055555556,0.8947291559953703454861111111,-0.1418793553009258871527777778,140,211,151
21,Three,low,3.3977418,-0.6593993420949074659722222222,-0.8876699894212963399305555555,-0.4506815557175926059027777778,124,103,127
21,Three,medium,5.9970942,0.9552301141550927173611111111,1.1380051167592593694444444444,1.7376251943518518680555555556,202,218,239
21,Two,high,3.729268,-1.9246149469560184048611111111,-0.5952462627546295128472222222,-1.6101464233564814024305555556,55,122,59
21,Two,low,1.6748359999999998,-2.7072802011226854465277777778,-2.9022267165046298357638888889,-2.1402632237731483211805555556,24,6,34
21,Two,medium,3.253562,-1.4416186761226851590277777778,-1.2255195415740740222222222223,-0.9725828737037036472222222222,83,83,98
22,Cone,high,2.3809082,-2.8137950702430555256944444445,-1.0876994898379630045138888889,-2.5617793271527777732638888889,19,94,18
22,Cone,low,1.5592217400000001,-3.1936812464930553840277777778,-2.9919008656712961440972222222,-1.8591505875694443920138888889,7,5,48
22,Cone,medium,4.218850600000001,-0.5647229674652768006944444445,0.0481030632870379652777777777,0.3894326225000009819444444445,133,171,189
22,Gravity,high,9.358960249999999,2.6813682988773138631944444448,1.8466391476620360913194444448,1.8554479912268509336805555555,261,238,242
22,Gravity,low,5.4381926,1.5692609634606481923611111111,-0.7897833873379628607638888889,-0.5410044591898147850694444445,223,111,120
22,Gravity,medium,4.6300294,0.4453731634606481340277777778,-1.5026255374074073930555555556,-1.7602133091203703111111111111,180,73,52
22,Three,high,2.3028199999999996,-3.3293545962615744618055555556,-2.0333100440046300545138888889,-3.0699185553009262871527777778,6,48,9
22,Three,low,1.795813,-2.2613281420949074659722222222,-2.4895987894212963399305555555,-2.0526103557175926059027777778,41,21,36
22,Three,medium,2.418451,-2.6234130858449072826388888889,-2.4406380832407406305555555556,-1.8410180056481481319444444444,26,24,50
22,Two,high,2.6710816,-2.9828013469560184048611111111,-1.6534326627546295128472222222,-2.6683328233564814024305555556,13,65,16
22,Two,low,2.2003114,-2.1818048011226852465277777778,-2.3767513165046296357638888889,-1.6147878237731481211805555556,45,27,58
22,Two,medium,2.1954957999999998,-2.4996848761226853590277777778,-2.2835857415740742222222222223,-2.0306490737037038472222222222,31,33,37
23,Cone,high,3.7117676000000004,-1.4829356702430551256944444445,0.2431599101620373954861111111,-1.2309199271527773732638888889,81,185,85
23,Cone,low,3.689575,-1.0633279864930554840277777778,-0.8615476056712962440972222222,0.2712026724305555079861111111,103,106,177
23,Cone,medium,5.329418800000001,0.5458452325347231993055555555,1.1586712632870379652777777777,1.5000008225000009819444444445,183,221,233
23,Gravity,high,7.348112,0.6705200488773148631944444448,-0.1642091023379629086805555552,-0.1554002587731480663194444445,190,159,148
23,Gravity,low,4.4331308,0.5641991634606481923611111111,-1.7948451873379628607638888889,-1.5460662591898147850694444445,186,56,63
23,Gravity,medium,5.042868,0.8582117634606481340277777778,-1.0897869374074073930555555556,-1.3473747091203703111111111111,198,93,75
23,Three,high,7.7063484,2.0741738037384259381944444444,3.3702183559953703454861111111,2.3336098446990741128472222222,244,272,257
23,Three,low,3.8866820000000004,-0.1704591420949070659722222222,-0.3987297894212959399305555555,0.0382586442824077940972222222,152,141,162
23,Three,medium,4.1362428,-0.9056212858449072826388888889,-0.7228462832407406305555555556,-0.1232262056481481319444444444,116,114,153
23,Two,high,6.739459399999999,1.0855764530439805951388888889,2.4149451372453694871527777778,1.4000449766435175975694444444,206,254,228
23,Two,low,5.718354,1.3362377988773147534722222222,1.1412912834953703642361111111,1.9032547762268518788194444444,214,219,245
23,Two,medium,3.3642944,-1.3308862761226851590277777778,-1.1147871415740740222222222223,-0.8618504737037036472222222222,89,91,104
24,Cone,high,2.4865234,-2.7081798702430555256944444445,-0.9820842898379630045138888889,-2.4561641271527777732638888889,23,101,24
24,Cone,low,3.8454588000000003,-0.9074441864930551840277777778,-0.7056638056712959440972222222,0.4270864724305558079861111111,115,115,194
24,Cone,medium,3.7173339999999997,-1.0662395674652781006944444445,-0.4534135367129633347222222223,-0.1120839775000003180555555555,102,135,154
24,Gravity,high,16.3862552,9.708663248877314863194444445,8.873934097662037091319444445,8.882742941226851933680555556,287,287,287
24,Gravity,low,7.448510799999999,3.5795791634606471923611111111,1.2205348126620361392361111111,1.4693137408101842149305555555,269,224,231
24,Gravity,medium,8.6455564,4.4609001634606481340277777778,2.5129014625925926069444444444,2.2553136908796296888888888889,280,255,252
24,Three,high,7.6917116,2.0595370037384259381944444444,3.3555815559953703454861111111,2.3189730446990741128472222222,243,271,256
24,Three,low,5.1049324,1.0477912579050925340277777778,0.8195206105787036600694444445,1.2565090442824073940972222222,205,207,224
24,Three,medium,7.549140799999999,2.5072767141550917173611111111,2.6900517167592583694444444444,3.2896717943518508680555555556,255,261,272
24,Two,high,5.29906,-0.3548229469560184048611111111,0.9745457372453704871527777778,-0.0403544233564814024305555556,143,215,158
24,Two,low,4.0968746000000005,-0.2852416011226847465277777778,-0.4801881165046291357638888889,0.2817753762268523788194444444,147,132,178
24,Two,medium,6.470764,1.7755833238773148409722222222,1.9916824584259259777777777777,2.2446191262962963527777777778,235,243,251
25,Cone,high,6.7305662,1.5358629297569444743055555555,3.2619585101620369954861111111,1.7878786728472222267361111111,219,269,241
25,Cone,low,2.420044,-2.3328589864930554840277777778,-2.1310786056712962440972222222,-0.9983283275694444920138888889,39,43,97
25,Cone,medium,3.0381226,-1.7454509674652778006944444445,-1.1326249367129630347222222223,-0.7912953775000000180555555555,67,89,107
25,Gravity,high,4.2382691999999995,-2.4393227511226856368055555552,-3.2740519023379634086805555552,-3.2652430587731485663194444445,35,3,6
25,Gravity,low,2.773999,-1.0949326365393518076388888889,-3.4539769873379628607638888889,-3.2051980591898147850694444445,100,2,7
25,Gravity,medium,3.6012087999999998,-0.5834474365393520659722222222,-2.5314461374074075930555555556,-2.7890339091203705111111111111,130,19,13
25,Three,high,1.8081251999999999,-3.8240493962615741618055555556,-2.5280048440046297545138888889,-3.5646133553009259871527777778,2,20,3
25,Three,low,1.610579,-2.4465621420949074659722222222,-2.6748327894212963399305555555,-2.2378443557175926059027777778,34,13,30
25,Three,medium,2.5491064000000003,-2.4927576858449069826388888889,-2.3099826832407403305555555556,-1.7103626056481478319444444444,32,32,55
25,Two,high,1.8679932000000001,-3.7858897469560183048611111111,-2.4565210627546294128472222222,-3.4714212233564813024305555556,3,23,4
25,Two,low,2.4394592,-1.9426570011226852465277777778,-2.1376035165046296357638888889,-1.3756400237731481211805555556,53,42,73
25,Two,medium,1.8022459999999998,-2.8929346761226853590277777778,-2.6768355415740742222222222223,-2.4238988737037038472222222222,16,12,27
3,Cone,high,1.5982908,-3.5964124702430555256944444445,-1.8703168898379630045138888889,-3.3443967271527777732638888889,4,54,5
3,Cone,low,2.765088,-1.9878149864930554840277777778,-1.7860346056712962440972222222,-0.6532843275694444920138888889,52,57,113
3,Cone,medium,2.09187,-2.6917035674652778006944444445,-2.0788775367129630347222222223,-1.7375479775000000180555555555,25,46,54
3,Gravity,high,6.0086624,-0.6689295511226851368055555552,-1.5036587023379629086805555552,-1.4948498587731480663194444445,123,72,67
3,Gravity,low,5.4967163999999995,1.6277847634606476923611111111,-0.7312595873379633607638888889,-0.4824806591898152850694444445,225,112,121
3,Gravity,medium,5.9115546000000005,1.7268983634606486340277777778,-0.2211003374074068930555555556,-0.4786881091203698111111111111,232,155,123
3,Three,high,3.2974608000000005,-2.3347137962615735618055555556,-1.0386692440046291545138888889,-2.0752777553009253871527777778,38,98,35
3,Three,low,3.1857786,-0.8713625420949074659722222222,-1.0996331894212963399305555555,-0.6626447557175926059027777778,117,92,112
3,Three,medium,2.4992064,-2.5426576858449072826388888889,-2.3598826832407406305555555556,-1.7602626056481481319444444444,30,29,51
3,Two,high,4.3385744,-1.3153085469560184048611111111,0.0140601372453704871527777778,-1.0008400233564814024305555556,90,166,96
3,Two,low,1.929175,-2.4529412011226852465277777778,-2.6478877165046296357638888889,-1.8859242237731481211805555556,33,14,46
3,Two,medium,2.3199708,-2.3752098761226851590277777778,-2.1591107415740740222222222223,-1.9061740737037036472222222222,37,40,43
4,Cone,high,1.84497475,-3.3497285202430555256944444445,-1.6236329398379630045138888889,-3.0977127771527777732638888889,5,67,8
4,Cone,low,2.1424803999999997,-2.6104225864930557840277777778,-2.4086422056712965440972222222,-1.2758919275694447920138888889,27,25,82
4,Cone,medium,3.4807344000000002,-1.3028391674652776006944444445,-0.6900131367129628347222222223,-0.3486835774999998180555555555,91,117,139
4,Gravity,high,4.9782472,-1.6993447511226851368055555552,-2.5340739023379629086805555552,-2.5252650587731480663194444445,71,18,20
