Subject,density,technique,trial_time,aligned(trial_time) for technique,ART-C(trial_time) for technique
10,high,Cone,8.7656798,0.6270487388310186572916666663,193
10,low,Cone,14.921848800000001,8.197140732581019444791666666,282
10,medium,Cone,11.4357786,4.1657877117476851697916666666,256
10,high,Gravity,16.2803528,6.8549700985532408572916666663,275
10,low,Gravity,10.043568,4.0870888631365739947916666663,254
10,medium,Gravity,12.098552999999999,5.3470848214699064197916666663,267
10,high,Three,14.0618652,5.0595808804976851836805555552,264
10,low,Three,6.7191654,0.5545766909143519545138888889,189
10,medium,Three,11.4486378,4.4821808117476851336805555555,260
10,high,Two,7.9282466,-0.3356597741319443732638888890,153
10,low,Two,4.074292,-2.7539759907986111149305555556,54
10,medium,Two,7.342563666666666,0.3014080147569437600694444444,178
11,high,Cone,6.195301,-1.9433300611689813427083333337,90
11,low,Cone,5.098119800000001,-1.6265882674189805552083333334,106
11,medium,Cone,7.5933475999999995,0.3233567117476846697916666666,179
11,high,Gravity,7.9742482,-1.4511345014467591427083333337,112
11,low,Gravity,6.721818400000001,0.7653392631365749947916666663,197
11,medium,Gravity,7.0973602,0.3458920214699074197916666663,181
11,high,Three,6.1134268,-2.8888575195023148163194444448,48
11,low,Three,5.378701,-0.7858877090856480454861111111,135
11,medium,Three,7.0712052,0.1047482117476851336805555555,171
11,high,Two,8.8388638,0.5749574258680556267361111110,190
11,low,Two,3.6841584,-3.1441095907986111149305555556,40
11,medium,Two,4.6323822,-2.4087734519097222399305555556,69
12,high,Cone,6.2543058,-1.8843252611689813427083333337,92
12,low,Cone,7.0834030000000014,0.3586949325810198447916666666,184
12,medium,Cone,7.7461796,0.4761887117476851697916666666,187
12,high,Gravity,17.171186,7.7458032985532408572916666663,279
12,low,Gravity,11.0878422,5.1313630631365739947916666663,265
12,medium,Gravity,10.9623164,4.2108482214699074197916666663,258
12,high,Three,6.197186,-2.8050983195023148163194444448,53
12,low,Three,6.838742999999999,0.6741542909143509545138888889,195
12,medium,Three,5.6266266,-1.3398303882523148663194444445,117
12,high,Two,8.6199554,0.3560490258680556267361111110,183
12,low,Two,9.0113586,2.1830906092013888850694444444,229
12,medium,Two,6.2346316,-0.8065240519097222399305555556,134
13,high,Cone,5.468872,-2.6697590611689813427083333337,59
13,low,Cone,13.437769,6.7130609325810184447916666666,274
13,medium,Cone,8.2140306,0.9440397117476851697916666666,202
13,high,Gravity,13.5845908,4.1592080985532408572916666663,255
13,low,Gravity,8.5093632,2.5528840631365739947916666663,234
13,medium,Gravity,9.1405704,2.3891022214699074197916666663,231
13,high,Three,10.9869686,1.9846842804976851836805555552,225
