subjedct_id,Cone,Gravity,Three,Two
1,157.66666666666666,178.0,123.0,122.33333333333333
2,97.0,135.66666666666666,121.66666666666667,53.666666666666664
3,59.666666666666664,185.0,95.66666666666667,100.66666666666667
4,163.33333333333334,133.33333333333334,45.666666666666664,131.0
5,272.6666666666667,234.66666666666666,200.66666666666666,148.0
6,86.66666666666667,241.0,249.66666666666666,226.33333333333334
7,219.66666666666666,181.33333333333334,206.66666666666666,96.33333333333333
8,130.33333333333334,242.66666666666666,183.0,161.0
9,243.66666666666666,265.3333333333333,237.66666666666666,128.33333333333334
10,125.0,163.33333333333334,118.0,99.66666666666667
11,154.33333333333334,267.3333333333333,121.66666666666667,182.0
12,178.33333333333334,240.0,168.66666666666666,151.66666666666666
13,196.33333333333334,149.66666666666666,143.0,128.33333333333334
14,62.333333333333336,84.66666666666667,193.0,87.33333333333333
15,19.0,177.33333333333334,106.66666666666667,102.66666666666667
16,199.0,36.0,36.666666666666664,17.0
17,93.0,221.0,208.33333333333334,166.0
18,197.66666666666666,221.66666666666666,196.0,108.0
19,166.0,179.66666666666666,134.66666666666666,133.66666666666666
20,99.0,171.33333333333334,105.33333333333333,55.666666666666664
21,72.66666666666667,184.66666666666666,26.0,48.666666666666664
22,165.66666666666666,190.33333333333334,185.33333333333334,63.666666666666664
23,111.66666666666667,237.66666666666666,228.66666666666666,158.33333333333334
24,53.333333333333336,51.333333333333336,57.0,12.0
