subject_id,Flower_Repeat_3,Flower_Repeat_2,Flower_Repeat_1,GravityZone_Repeat_3,GravityZone_Repeat_2,GravityZone_Repeat_1,OhMiniMap_Repeat_3,OhMiniMap_Repeat_2,OhMiniMap_Repeat_1,ThreeDMiniMap_Repeat_3,ThreeDMiniMap_Repeat_2,ThreeDMiniMap_Repeat_1
sub_2,4.644830399999999,1.8131132,3.4670196000000004,7.3457178,3.4169069999999997,8.5320436,4.865641600000001,7.088582,4.2774018,3.4714846,3.4985962,4.2104248
sub_3,1.5982908,2.09187,2.765088,6.0086624,5.9115546,5.4967163999999995,4.338574399999999,2.3199708,1.929175,3.2974607999999996,2.4992064000000003,3.1857786
sub_4,1.84497475,3.4807344000000002,2.1424804,4.9782472,4.889686599999999,5.163184,4.1700166,3.672368,3.3999358,4.4701416,2.9637572,4.0838412
sub_5,5.7001348,2.9124269999999997,5.995239000000001,7.7180096,4.8312498,3.4722303999999995,6.049080399999999,2.9191650000000005,3.3373504000000005,4.4239014,3.1367431999999997,3.6958742
sub_6,5.3435666,3.923407,4.327195000000001,5.460991,6.498874000000001,8.882565000000001,3.9134566,3.1754606,5.0823548,8.2690582,4.965545799999999,4.3513886
sub_7,4.305542,6.025512,5.3102052,10.7840582,6.777459,5.6909865,4.7370849999999995,7.0201256,6.032605,6.6338074,9.181523199999999,5.661688
sub_8,5.271113400000001,4.20809075,3.9569731999999993,10.460807399999998,5.7470856,3.9594785999999997,7.3559045,6.6006746,3.4348823999999993,8.134551250000001,4.0578538,3.8996682
sub_9,2.311377,2.7651366,2.3584229999999997,7.086373800000001,5.646908600000001,7.6962574,9.2454468,5.358804400000001,4.159136999999999,3.808838,4.930761600000001,2.6218996
sub_10,3.4443436000000007,2.5251282,2.1858642,6.938586599999999,4.174026400000001,5.616392599999999,3.8395805000000003,4.527882399999999,5.479715000000001,2.6285766,3.1083312,1.9291991999999998
sub_11,4.6167602,3.9734494,3.5473386,5.293041,7.175579200000001,5.5577666,5.4114024999999994,3.7862732,2.6738984,2.6156432,8.094446,3.0690798
sub_12,2.425377,2.91344,7.3231348,12.0314636,6.1648742,10.711761,4.87485125,5.012263599999999,4.929004,9.4488718,7.0772762,4.809592199999999
sub_13,8.2894108,11.0461214,9.998908199999999,9.0378338,7.865923,6.398629799999999,6.185217199999999,4.993872,6.353259199999999,4.017034799999999,4.399208,5.1005009999999995
sub_14,3.082352,3.6984336,2.0075868,6.381510800000001,6.6325372,6.3124876,6.4384092,6.3113168,5.0740104,7.1179694,3.8432860000000004,5.459082
sub_15,5.075757599999999,3.3582030000000005,1.6649170000000002,5.3210232,4.53582,4.0820251999999995,2.5119292,2.5658232,2.4881409999999997,4.670507799999999,6.6999886,2.5284362
sub_16,3.525271,3.5808746,2.1495667999999997,8.244587,6.927694600000001,5.5995484,3.4225342,4.1538696,3.1637086000000005,3.7795312,4.425950599999999,3.8853332000000003
sub_17,6.3571776,4.3579956,6.5714722,5.0544792,3.9565794,2.3642578,1.60597,1.8693832000000001,1.4415042,2.4590332,2.3096436000000002,2.2006106
sub_18,3.4974016,2.4531158,2.5030545999999996,7.8767144,7.4233428,5.9699852,5.1953856,5.4135254,5.278796,5.312481,3.668988,3.7888396000000006
sub_19,3.4333617999999992,5.035461333333333,4.1627692,8.1720074,8.4729948,5.563414799999999,5.733282399999999,2.9336302,4.2139892,5.5333225,5.473361199999999,6.143592
sub_20,6.1208866,4.1934874,3.0462678,9.017229666666667,10.723044400000001,6.432354800000001,4.175293,5.070813,5.487915,6.3633364,4.0158448,4.229184200000001
sub_21,4.096099999999999,3.8204224000000004,6.7462526,7.5650858,3.8955874,3.4248846,3.729268,3.253562,1.6748359999999998,5.2308592,5.9970942,3.3977418
sub_22,2.3809082,4.218850600000001,1.55922174,9.358960249999999,4.630029400000001,5.4381926,2.6710816,2.1954958,2.2003114000000004,2.30282,2.418451,1.795813
