subject_id,Cone_high,Cone_medium,Cone_low,gravity_high,gravity_medium,gravity_low,Two_high,Two_medium,Two_low,Three_high,Three_medium,Three_low
sub_2,12.1406278,5.9874968,4.9925354,10.4527936,4.3858016,10.3416068,5.6093291999999995,8.2474588,5.1013246,3.8988892,6.768664200000001,7.3051024
sub_3,4.1487792,7.2674316,5.1010488,5.89572525,9.130199399999999,5.560487,7.306714399999999,2.9291992,2.7545653999999997,6.658471799999999,4.2428344,8.6804185
sub_4,5.4882966,4.0987396,4.5159296,8.2694614,10.193807000000001,6.3068188,6.0828802,3.9174909999999996,7.1644326,4.3203856,4.3440492,7.7429074
sub_5,12.312707399999999,8.9271256,2.6557372,10.7732838,5.6524596,3.3942031999999998,10.0079618,5.994007,3.750801,5.5318852,2.8702150000000004,4.307525500000001
sub_6,18.20693725,10.2995814,23.5702465,9.193980400000001,14.536910800000001,11.259794249999999,7.07428275,4.6934998,10.155539200000002,11.9129196,6.2017672,8.133985
sub_7,7.716028400000001,4.9291994,3.445633,17.787007199999998,8.4869686,7.7186584,13.202513,11.0032108,6.7026118,14.9617124,16.67839175,6.7836978000000006
sub_8,18.617129600000002,6.3653414,9.611934,17.146320600000003,6.8190028,4.1542208,6.8880490000000005,6.470773400000001,3.4436864,11.81111525,6.6925276,8.261529
sub_9,9.439343,5.8889774,4.254553400000001,11.0535634,9.731704599999999,11.722536200000002,8.9154094,6.9130584,5.697436,9.799951799999999,12.6583994,3.9842772
sub_10,8.7656798,11.435778599999999,14.921848800000001,16.2803528,12.098553,10.043568,7.9282466,7.342563666666666,4.074292000000001,14.0618652,11.4486378,6.7191654
sub_11,6.195300999999999,7.5933475999999995,5.0981198,7.9742482,7.0973602,6.721818400000001,8.838863799999999,4.6323821999999995,3.6841584,6.1134268,7.0712052,5.3787009999999995
sub_12,6.2543058,7.7461796,7.083403,17.171186,10.9623164,11.0878422,8.619955399999998,6.2346316,9.0113586,6.197186,5.6266266,6.838742999999999
sub_13,5.468872,8.2140306,13.437769,13.5845908,9.1405704,8.5093632,6.141114,7.1042508,7.639369199999999,10.9869686,5.1345948,6.624615199999999
sub_14,6.134201399999999,14.532138800000002,8.642773199999999,8.1080994,6.9638808,5.6719512,6.729657599999999,5.9805418,6.3897645999999995,10.449646800000002,4.68107575,5.5502678
sub_15,5.062206999999999,5.611364399999999,3.5530518,7.0303062,4.4799422,4.307422,5.5367216,5.8393074,4.6594663999999995,12.0956794,7.0451912000000005,6.0320862
sub_16,4.739180599999999,1.7764510000000002,3.157251,8.0466522,7.7962688,7.53212875,6.1125486,5.5958494000000005,5.2806885999999995,6.8050804,4.8163728,5.8725034
sub_17,16.049670400000004,6.128766,7.309021800000001,5.187354200000001,4.210376,2.4896606,2.854039,2.7931138,3.5378952,3.5836182,4.217773599999999,3.3391599999999997
sub_18,5.0676284,7.969069200000002,3.5277679999999996,9.040694,9.7621638,11.586054800000001,7.773328199999999,6.523279199999999,8.271875600000001,13.497345800000002,8.6629876,5.7339508
sub_19,8.4336095,17.605075,5.710937400000001,16.352704799999998,9.6618952,5.5324952,7.558220399999999,3.6598569999999997,6.5406434,8.345455399999999,11.7410216,6.6518128
sub_20,6.3347316,9.8402272,6.774581799999998,6.8877675,12.697172,6.863720600000001,5.533093200000001,6.8663516,7.2497856,8.3737288,5.2811378,5.991674399999999
sub_21,10.269029999999999,3.2996094,3.8594602,15.280719199999998,3.6669846,6.899756999999999,7.0304756,3.1649643999999997,3.2469636,7.6685304,4.4165768,5.284131
sub_22,4.1128202,5.6719682,4.8254186,10.638941399999998,6.8614679999999995,6.17312,3.4965432,4.9152678000000005,3.943683,3.53797,3.8861024,2.8059632
sub_23,9.957497000000002,5.496729,6.9528814,9.628180400000002,6.3765104,9.010440800000001,5.41900625,4.0122194,4.959405600000001,12.649427200000002,6.9881096,5.519867
sub_24,3.302588,5.652636599999999,8.431397200000001,12.2877686,9.3919674,8.809937399999999,7.780894799999999,9.4934566,5.0361816,12.5785054,9.1016486,7.432270999999998
sub_25,4.5509034,5.5834468,3.4006225999999997,4.5557859999999994,4.3492552,3.6761962000000006,3.4023074,2.169403,3.0909058,6.847423600000001,3.2514219999999994,3.6081392
