subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,RayKebab,1,1,3,1,1,1.211347
subryan,RayKebab,1,2,65,1,1,4.524728
subryan,RayKebab,1,3,58,1,1,0.9466133
subryan,RayKebab,1,4,42,1,1,0.8633137
subryan,RayKebab,1,5,9,1,1,0.9327812
subryan,RayKebab,2,1,180,1,1,1.266644
subryan,RayKebab,2,2,57,1,1,1.364391
subryan,RayKebab,2,3,28,1,1,1.183483
subryan,RayKebab,2,4,195,1,1,1.887098
subryan,RayKebab,2,5,180,1,1,1.225063
subryan,RayKebab,3,1,210,1,1,4.299236
subryan,RayKebab,3,2,59,1,1,1.839417
subryan,RayKebab,3,3,16,1,1,1.044064
subryan,RayKebab,3,4,24,1,1,0.9746361
subryan,RayKebab,3,5,167,1,1,1.897381
subryan,RayKebab,1,1,3,1,1,2.088242
subryan,RayKebab,1,2,65,1,1,1.573166
subryan,RayKebab,1,3,58,1,1,2.266052
subryan,RayKebab,1,4,42,1,1,1.336319
subryan,RayKebab,1,5,9,1,1,1.308594
