subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subtestSubject,OhMiniMap,1,1,30,1,1,1.95443
subtestSubject,OhMiniMap,1,2,20,1,1,2.786783
subtestSubject,OhMiniMap,2,1,72,1,1,2.372116
subtestSubject,OhMiniMap,2,2,65,1,1,2.355675
subtestSubject,OhMiniMap,3,1,18,1,1,2.250643
subtestSubject,OhMiniMap,3,2,296,1,1,2.299175
subtestSubject,ThreeDMiniMap,1,1,30,1,1,6.857216
subtestSubject,ThreeDMiniMap,1,2,20,1,1,2.410728
subtestSubject,ThreeDMiniMap,2,1,72,1,1,1.772636
subtestSubject,ThreeDMiniMap,2,2,65,1,1,1.712601
