subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,RayKebab,1,1,88,1,1,1.726303
subryan,RayKebab,1,2,101,1,1,0.9466248
subryan,RayKebab,1,3,80,1,1,0.9745522
subryan,RayKebab,1,4,93,1,1,1.983418
subryan,RayKebab,1,5,24,1,1,1.044239
subryan,RayKebab,2,1,51,1,1,2.812435
subryan,RayKebab,2,2,65,1,1,2.764553
subryan,RayKebab,2,3,94,1,1,0.8354568
subryan,RayKebab,2,4,138,1,1,0.9049568
subryan,RayKebab,2,5,153,1,1,2.165455
subryan,RayKebab,3,1,16,1,1,1.072296
subryan,RayKebab,3,2,95,1,2,2.008015
subryan,RayKebab,3,3,302,1,3,1.837822
subryan,RayKebab,3,4,80,1,1,1.072029
subryan,RayKebab,3,5,270,1,1,1.016373
