subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,RayKebab,1,1,52,1,1,1.517782
subryan,RayKebab,1,2,55,1,1,1.322664
subryan,RayKebab,1,3,1,1,1,1.689081
subryan,RayKebab,1,4,47,1,1,0.835453
subryan,RayKebab,1,5,60,1,1,1.419937
subryan,RayKebab,2,1,182,1,1,1.545422
subryan,RayKebab,2,2,96,1,1,1.127712
subryan,RayKebab,2,3,189,1,1,1.169529
subryan,RayKebab,2,4,82,1,1,1.867302
subryan,RayKebab,2,5,76,1,1,1.935467
subryan,RayKebab,3,1,40,1,1,2.15554
subryan,RayKebab,3,2,13,1,1,1.141739
subryan,RayKebab,3,3,37,1,1,1.699963
subryan,RayKebab,3,4,398,1,1,1.169472
subryan,RayKebab,3,5,384,1,1,2.004845
