subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,RayKebab,1,1,12,1,1,4.346489
subryan,RayKebab,1,2,2,1,1,0.849205
subryan,RayKebab,1,3,1,1,2,1.269405
subryan,RayKebab,1,4,15,1,1,1.099905
subryan,RayKebab,1,5,12,1,1,2.055647
subryan,RayKebab,2,1,80,1,1,2.406132
subryan,RayKebab,2,2,30,1,1,1.501724
subryan,RayKebab,2,3,73,1,1,1.085938
subryan,RayKebab,2,4,63,1,1,1.693123
subryan,RayKebab,2,5,48,1,1,1.042309
subryan,RayKebab,3,1,390,1,1,2.023323
subryan,RayKebab,3,2,128,1,1,1.046154
subryan,RayKebab,3,3,25,1,1,0.9763794
subryan,RayKebab,3,4,51,1,1,1.099911
subryan,RayKebab,3,5,180,1,3,7.884106
subryan,OhMiniMap,1,1,12,1,1,1.472618
subryan,OhMiniMap,1,2,2,1,1,1.378792
subryan,OhMiniMap,1,3,1,1,1,1.260406
subryan,OhMiniMap,1,4,15,1,1,1.286751
subryan,OhMiniMap,1,5,12,1,1,1.368301
subryan,OhMiniMap,2,1,80,1,1,2.389252
subryan,OhMiniMap,2,2,30,1,1,1.348663
subryan,OhMiniMap,2,3,73,1,1,1.55014
subryan,OhMiniMap,2,4,63,1,1,3.906158
subryan,OhMiniMap,2,5,48,1,1,1.434441
subryan,OhMiniMap,3,1,390,1,1,2.378052
subryan,OhMiniMap,3,2,128,1,1,2.870308
subryan,OhMiniMap,3,3,25,1,1,44.21461
subryan,OhMiniMap,3,4,51,1,1,6.983505
subryan,OhMiniMap,3,5,180,1,1,4.035034
subryan,OhMiniMap,1,1,12,1,1,4.629532
