subject_id,technique,density,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_13,OhMiniMap,1,1,Search,1,11.72987,1,14.12223,1.264878,1.075111,1,2,0,1
sub_13,OhMiniMap,1,2,Repeat,1,11.76935,1,8.860542,0.753437,0.9038098,1,1,0,1
sub_13,OhMiniMap,1,3,Search,2,11.51015,1,4.351418,0.6475621,0.6420818,1,0,0,1
sub_13,OhMiniMap,1,4,Repeat,2,11.53086,1,4.505127,0.4675607,0.5591307,1,0,0,1
sub_13,OhMiniMap,1,5,Search,3,8.313374,1,5.226952,0.5527456,0.7445985,2,0,0,1
sub_13,OhMiniMap,1,6,Repeat,3,8.313095,1,8.715561,1.442788,0.7333984,1,3,0,1
sub_13,OhMiniMap,1,7,Search,4,9.84988,1,9.936874,0.9263902,1.061968,3,0,0,1
sub_13,OhMiniMap,1,8,Repeat,4,9.86685,1,6.660652,0.8923982,1.043117,1,1,0,1
sub_13,OhMiniMap,1,9,Search,5,9.937575,1,4.559372,1.007671,1.204036,1,0,0,1
sub_13,OhMiniMap,1,10,Repeat,5,9.940959,1,3.024414,0.566103,0.7087355,1,0,0,1
sub_13,OhMiniMap,2,11,Search,1,13.19736,1,8.890869,0.6365597,0.9509809,1,0,0,1
sub_13,OhMiniMap,2,12,Repeat,1,13.22739,1,8.97612,0.7342086,0.9636788,1,1,0,1
sub_13,OhMiniMap,2,13,Search,2,13.48762,1,5.036087,0.5251729,0.6774302,2,0,0,1
sub_13,OhMiniMap,2,14,Repeat,2,13.51076,1,3.197723,0.6266617,0.4950013,1,0,0,1
sub_13,OhMiniMap,2,15,Search,3,7.505344,1,5.365692,0.609436,0.5825897,1,1,0,1
sub_13,OhMiniMap,2,16,Repeat,3,7.51766,1,5.700699,0.6367823,0.622609,1,1,0,1
sub_13,OhMiniMap,2,17,Search,4,4.073048,1,12.00479,0.5734783,1.062822,2,0,0,1
sub_13,OhMiniMap,2,18,Repeat,4,4.069421,1,2.982468,0.5695078,0.6152689,1,0,0,1
sub_13,OhMiniMap,2,19,Search,5,11.44698,1,4.223816,0.4156557,0.5375326,1,0,0,1
sub_13,OhMiniMap,2,20,Repeat,5,11.4451,1,4.11235,0.5871661,0.4467647,1,1,0,1
sub_13,OhMiniMap,3,21,Search,1,6.177797,1,10.60323,1.75379,0.8450558,1,3,1,1
sub_13,OhMiniMap,3,22,Repeat,1,6.137984,1,5.823395,1.131006,0.5453771,2,1,0,1
sub_13,OhMiniMap,3,23,Search,2,11.35724,1,5.726166,0.8148918,0.6708071,1,1,0,1
sub_13,OhMiniMap,3,24,Repeat,2,11.35544,1,4.791168,0.7946481,0.564194,1,1,0,1
sub_13,OhMiniMap,3,25,Search,3,13.24182,1,5.910812,1.1753,0.6335093,1,2,0,1
sub_13,OhMiniMap,3,26,Repeat,3,13.24342,1,7.417236,0.5325959,0.7335765,1,0,0,1
sub_13,OhMiniMap,3,27,Search,4,11.43032,1,5.019592,0.6677628,0.6544141,2,1,0,1
sub_13,OhMiniMap,3,28,Repeat,4,11.42627,1,6.92569,0.6542062,0.6533535,2,1,0,1
sub_13,OhMiniMap,3,29,Search,5,4.214624,1,3.44577,0.5334498,0.4044987,1,0,0,1
sub_13,OhMiniMap,3,30,Repeat,5,4.196165,1,5.968597,0.912098,0.6436107,2,1,0,1
sub_13,Flower,2,1,Search,1,7.473236,1,5.261646,0.7194476,0.5500539,0,2,0,0
sub_13,Flower,2,2,Repeat,1,7.466348,1,2.868103,0.4716699,0.08131117,0,2,0,0
sub_13,Flower,2,3,Search,2,4.240692,1,12.72501,1.489665,0.1460741,0,6,0,3
sub_13,Flower,2,4,Repeat,2,4.236305,1,12.64145,1.188334,0.1124924,0,6,0,4
sub_13,Flower,2,5,Search,3,13.30209,1,15.31479,1.7054,0.1219138,0,8,0,4
sub_13,Flower,2,6,Repeat,3,13.29608,1,23.29234,2.366152,0.188042,0,13,0,11
sub_13,Flower,2,7,Search,4,6.203536,1,3.216148,0.4381887,0.04046568,0,2,0,0
sub_13,Flower,2,8,Repeat,4,6.209259,2,14.22916,2.115032,0.4411575,1,6,0,1
sub_13,Flower,2,9,Search,5,11.71819,1,4.552559,0.3708027,0.02212476,0,2,0,0
sub_13,Flower,2,10,Repeat,5,11.71558,1,2.199554,0.3306085,0.04338795,0,2,0,0
sub_13,Flower,1,11,Search,1,10.00725,1,6.139114,0.5730278,0.1768139,0,4,0,1
sub_13,Flower,1,12,Repeat,1,10.02182,3,18.90633,0.9308129,0.2234345,0,9,0,4
sub_13,Flower,1,13,Search,2,11.48012,1,3.202271,0.5546955,0.05531693,0,2,0,0
sub_13,Flower,1,14,Repeat,2,11.48713,1,3.61972,0.7127523,0.1568945,0,2,0,0
sub_13,Flower,1,15,Search,3,9.966332,1,8.60405,0.9758126,0.08025755,0,5,0,3
sub_13,Flower,1,16,Repeat,3,9.962708,1,11.15179,0.8847865,0.09297474,0,7,0,5
sub_13,Flower,1,17,Search,4,11.42812,1,15.8855,1.438006,0.1785786,0,11,0,9
