subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,RayKebab,1,1,4,1,1,2.241451
subryan,RayKebab,1,2,21,1,1,1.378208
subryan,RayKebab,1,3,15,1,1,5.443562
subryan,RayKebab,1,4,17,1,1,1.754246
subryan,RayKebab,1,5,21,1,1,3.731121
subryan,RayKebab,2,1,154,1,1,3.633499
subryan,RayKebab,2,2,142,1,1,1.489685
subryan,RayKebab,2,3,64,1,2,3.606049
subryan,RayKebab,2,4,2,1,3,2.394722
subryan,RayKebab,2,5,153,1,1,1.266907
subryan,RayKebab,3,1,181,1,4,3.765686
subryan,RayKebab,3,2,106,1,1,12.51254
subryan,RayKebab,3,3,232,1,2,3.272202
subryan,RayKebab,3,4,287,1,1,2.029381
subryan,RayKebab,3,5,171,1,1,1.085983
