subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subryan,Flower,1,1,2,1,1,2.366862
subryan,Flower,1,2,3,1,1,1.879452
subryan,Flower,1,3,5,1,1,1.601187
subryan,Flower,1,4,0,1,1,1.669056
subryan,Flower,1,5,1,1,1,1.446362
subryan,Flower,2,1,27,1,1,1.740292
subryan,Flower,2,2,87,1,1,1.949203
subryan,Flower,2,3,63,1,1,2.255436
subryan,Flower,2,4,17,1,1,1.642921
subryan,Flower,2,5,58,1,1,1.572975
subryan,Flower,3,1,12,1,1,2.004868
subryan,Flower,3,2,20,1,1,1.489777
subryan,Flower,3,3,73,1,1,1.57325
subryan,Flower,3,4,249,1,1,1.935242
subryan,Flower,3,5,210,1,1,2.365265
subryan,OhMiniMap,1,1,2,1,1,3.589363
subryan,OhMiniMap,1,2,3,1,2,112.7926
subryan,OhMiniMap,1,3,5,1,1,4.531265
subryan,OhMiniMap,1,4,0,1,1,1.941086
subryan,OhMiniMap,1,5,1,1,1,2.154282
subryan,OhMiniMap,2,1,27,1,1,2.447113
subryan,OhMiniMap,2,2,87,1,1,8.23027
subryan,OhMiniMap,2,3,63,1,1,3.253021
subryan,OhMiniMap,2,4,17,1,1,17.90616
subryan,OhMiniMap,2,5,58,1,1,13.66638
subryan,OhMiniMap,3,1,12,1,1,3.372833
subryan,OhMiniMap,3,2,20,1,1,12.25818
subryan,OhMiniMap,3,3,73,1,1,5.007935
subryan,OhMiniMap,3,4,249,1,1,6.225739
subryan,OhMiniMap,3,5,210,1,1,11.30743
