subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
submyk,RayKebab,1,1,30,1,1,2.506062
submyk,RayKebab,1,2,2,1,1,2.545841
submyk,RayKebab,1,3,10,1,1,2.063322
submyk,RayKebab,1,4,33,1,1,2.0746
submyk,RayKebab,1,5,48,1,2,1.639984
submyk,RayKebab,1,6,35,1,2,3.852077
submyk,RayKebab,1,7,6,1,1,2.019234
submyk,RayKebab,1,8,36,1,1,1.965668
submyk,RayKebab,2,1,90,1,3,3.285679
submyk,RayKebab,2,2,84,1,1,2.050316
submyk,RayKebab,2,3,29,1,1,1.877609
submyk,RayKebab,2,4,43,1,1,1.777077
submyk,RayKebab,2,5,14,1,1,1.813087
submyk,RayKebab,2,6,96,1,1,2.421272
submyk,RayKebab,2,7,42,1,1,0.9188614
submyk,RayKebab,2,8,107,1,1,1.365005
submyk,RayKebab,3,1,153,1,1,1.99279
submyk,RayKebab,3,2,158,1,1,3.127296
submyk,RayKebab,3,3,106,1,1,3.268265
submyk,RayKebab,3,4,72,1,1,2.134186
submyk,RayKebab,3,5,111,1,1,1.392464
submyk,RayKebab,3,6,77,1,1,0.9995804
submyk,RayKebab,3,7,0,1,1,1.788063
submyk,RayKebab,3,8,9,1,1,2.757149
